CANAL / ZONA,INDUSTRIA / MARCA,Year to date 21 cajas,Year to date 20 cajas,Year to date 21 pesos,Year to date 20 pesos
TRADICIONAL ARCA CONTINENTAL,AGUA MINERAL NATURAL,"6,057.6","5,795.0","678,481.4","604,197.1"
TRADICIONAL ARCA CONTINENTAL,CIEL MINERALIZADA,227.4,322.6,"25,572.2","31,175.1"
TRADICIONAL ARCA CONTINENTAL,TOPOCHICO,"3,445.1","3,336.4","441,298.8","394,081.5"
TRADICIONAL ARCA CONTINENTAL,PEÑAFIEL,"2,005.5","1,740.9","166,490.6","135,026.2"
TRADICIONAL ARCA CONTINENTAL,AGUA DE LOURDES,299.0,327.5,"39,145.8","38,926.7"
GCA ARCA CONTINENTAL,AGUA MINERAL NATURAL,"1,589.9","1,724.5","146,053.9","136,735.5"
GCA ARCA CONTINENTAL,CIEL MINERALIZADA,34.8,32.7,"2,119.5","2,046.1"
GCA ARCA CONTINENTAL,TOPOCHICO,771.1,818.3,"81,974.5","76,465.9"
GCA ARCA CONTINENTAL,PEÑAFIEL,709.1,800.9,"48,107.7","45,854.6"
GCA ARCA CONTINENTAL,AGUA DE LOURDES,38.7,42.0,"3,610.4","3,735.5"
PROXIMIDAD ARCA CONTINENTAL,AGUA MINERAL NATURAL,"3,499.4","4,511.0","331,973.6","389,491.2"
PROXIMIDAD ARCA CONTINENTAL,CIEL MINERALIZADA,54.5,78.3,"3,983.7","5,353.9"
PROXIMIDAD ARCA CONTINENTAL,TOPOCHICO,"1,908.1","2,630.9","217,171.0","265,600.3"
PROXIMIDAD ARCA CONTINENTAL,PEÑAFIEL,"1,430.8","1,669.7","101,149.3","106,394.7"
PROXIMIDAD ARCA CONTINENTAL,AGUA DE LOURDES,92.4,119.8,"8,542.5","10,808.6"
TRADICIONAL ARCA ZONA NORTE,AGUA MINERAL NATURAL,"1,092.2","1,049.5","134,523.7","117,291.0"
